sbb qword ptr [r13 + r14*2], 0x7fffffff	4b815c7500ffffff7f	
sbb rax, 0x7f	4883d87f	
sbb r12, 0x7f	4983dc7f	
sbb qword ptr [rax], 0x7f	4883187f	
sbb qword ptr [r13 + r14*2], 0x7f	4b835c75007f	
sbb eax, eax	19c0	
sbb eax, r11d	4419d8	
sbb eax, dword ptr [rax]	1b00	
sbb eax, dword ptr [r13 + r14*2]	431b447500	
sbb r11d, eax	4119c3	
sbb r11d, r11d	4519db	
sbb r11d, dword ptr [rax]	441b18	
sbb r11d, dword ptr [r13 + r14*2]	471b5c7500	
sbb al, al	18c0	
sbb al, r9b	4418c8	
sbb r9b, al	4118c1	
sbb r9b, r9b	4518c9	
sbb byte ptr [rax], al	1800	
sbb byte ptr [rax], r9b	441808	
sbb byte ptr [r13 + r14*2], al	4318447500	
sbb byte ptr [r13 + r14*2], r9b	47184c7500	
and rax, rax	4821c0	
and rax, r12	4c21e0	
and r12, rax	4921c4	
and r12, r12	4d21e4	
and qword ptr [rax], rax	482100	
and qword ptr [rax], r12	4c2120	
and qword ptr [r13 + r14*2], rax	4b21447500	
and qword ptr [r13 + r14*2], r12	4f21647500	
and rax, rax	4821c0	
and rax, r12	4c21e0	
and rax, qword ptr [rax]	482300	
and rax, qword ptr [r13 + r14*2]	4b23447500	
and r12, rax	4921c4	
and r12, r12	4d21e4	
and r12, qword ptr [rax]	4c2320	
and r12, qword ptr [r13 + r14*2]	4f23647500	
and rax, 0x7fffffff	4825ffffff7f	
and r12, 0x7fffffff	4981e4ffffff7f	
and qword ptr [rax], 0x7fffffff	488120ffffff7f	
and qword ptr [r13 + r14*2], 0x7fffffff	4b81647500ffffff7f	
and rax, 0x7f	4883e07f	
and r12, 0x7f	4983e47f	
and qword ptr [rax], 0x7f	4883207f	
and qword ptr [r13 + r14*2], 0x7f	4b836475007f	
and eax, eax	21c0	
and eax, r11d	4421d8	
and eax, dword ptr [rax]	2300	
and eax, dword ptr [r13 + r14*2]	4323447500	
and r11d, eax	4121c3	
